Radio Name,Link,image url
OldSkool Hits,https://wz2liw.scahw.com.au/live/2oldskool_128.stream/playlist.m3u8,https://images.ctfassets.net/yxg7lydfj6tc/e4a3dd25-763e-4722-93e8-6e8c12d9ca52/5a33edbde73e47d463e1f30c69933c2f/oldskool90s-show-img-3000x3000.jpg
Blender Beats,https://wz2liw.scahw.com.au/live/2blenderbeats_128.stream/playlist.m3u8,https://images.ctfassets.net/yxg7lydfj6tc/d1575cd5-4e24-4683-b217-d7acd50696c7/94d729909ca55f40f9dd61fe31b72ed5/blender-beats-dab-show-image-3000x3000.png
RNB Fridays,https://wz2liw.scahw.com.au/live/2rnbfridays_128.stream/playlist.m3u8,https://images.ctfassets.net/yxg7lydfj6tc/7355808a-e504-4f86-82ba-838ddadb6bb2/63f05b8cf5b7dd535b20b88b4ba18b53/rnb-fridays-radio.png
Dance Hits,https://wz2liw.scahw.com.au/live/2dance_128.stream/playlist.m3u8,https://images.ctfassets.net/yxg7lydfj6tc/8ed4cc58-1dba-4aa3-99b2-42f68df3665d/54c3be5e0554e81638fc2b297c3e9cf9/dance.png
2Day FM,https://wz2liw.scahw.com.au/live/2rnbfridays_128.stream/playlist.m3u8,https://images.ctfassets.net/yxg7lydfj6tc/a03bb302-c2be-4f60-81b2-145a24c62edc/09d58d340e1ffe74f3fdcf133aca2df7/0001-2day.png
KIIS 1065,https://i.mjh.nz/radio-ih-6185.aac,https://upload.wikimedia.org/wikipedia/en/0/01/KIIS_Network_logo.png
101.7 WSFM,https://i.mjh.nz/radio-ih-6186.aac,https://www.wsfm.com.au/wp-content/uploads/sites/11/2019/07/wsfm.jpg
FBi Radio,https://i.mjh.nz/radio-ih-6311,https://i1.sndcdn.com/avatars-000331853908-cfvg1b-original.jpg
Psytrance Radio,http://streamer.psyradio.org:8010/stream,https://au.radio.net/images/broadcasts/fb/f4/19327/2/c300.png
Assyrian Radio,https://streamer.radio.co/s51a438b13/listen,https://cdn-profiles.tunein.com/s197649/images/logod.jpg?t=636834070780000000
